sample_id	file_name
TCGA-QG-A5Z1-01A-11R-A28H-07	544dbca2-f436-4cb7-9e11-572ead91d28d.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-2683-11A-01R-A32Z-07	1a7a23fc-67d0-47d7-a4bf-0acd6ff15836.rna_seq.augmented_star_gene_counts.tsv
TCGA-G4-6315-01A-11R-1723-07	5d396a37-9b3d-4255-a3bd-f4a7c9480aee.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3489-11A-01R-1839-07	3168d3ce-487b-4834-8370-ce8b73fc39ce.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3930-01A-01R-1022-07	9a1be9ca-1641-4eac-beb9-3b54ec277a7c.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-2679-01A-02R-1410-07	131e315e-6653-4199-b653-42b81644dad9.rna_seq.augmented_star_gene_counts.tsv
TCGA-AY-A8YK-01A-11R-A41B-07	690d4959-780e-4783-8a90-268159abefb1.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3532-01A-01R-0821-07	608d8ca8-8eeb-40a1-a95b-57eefcabbdab.rna_seq.augmented_star_gene_counts.tsv
TCGA-F4-6569-01A-11R-1774-07	cdb7b56c-ddca-4596-bfa2-6823c12837e2.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3710-01A-01R-1022-07	a0fad25f-74d8-42f1-8e47-4d56c091e000.rna_seq.augmented_star_gene_counts.tsv
TCGA-AD-6890-01A-11R-1928-07	f139697f-e8aa-4ed3-aed3-b36ae0493d40.rna_seq.augmented_star_gene_counts.tsv
TCGA-G4-6303-01A-11R-1774-07	90407c8f-6193-45c7-9f29-0783aeeab94d.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3715-01A-01R-0905-07	02faba9d-8eda-4967-995d-61a0c13b843c.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3696-01A-01R-0905-07	643bb711-7302-4ba7-bd39-cb0e4d9c2377.rna_seq.augmented_star_gene_counts.tsv
TCGA-AZ-4323-01A-21R-1839-07	0278634b-4a08-48df-ad10-35da36e56b19.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-6782-01A-11R-1839-07	d4211058-4fb9-470e-9dfe-5e4be33564ff.rna_seq.augmented_star_gene_counts.tsv
TCGA-CK-6747-01A-11R-1839-07	4dd48c58-cb90-4197-ba50-2aaca555e6d1.rna_seq.augmented_star_gene_counts.tsv
TCGA-AZ-5407-01A-01R-1723-07	e74cd5d1-66e1-4008-8b9a-170392f7cbb8.rna_seq.augmented_star_gene_counts.tsv
TCGA-D5-7000-01A-11R-A32Z-07	590d46bc-3db8-4e22-8550-b3e4ba0affba.rna_seq.augmented_star_gene_counts.tsv
TCGA-AU-3779-01A-01R-1723-07	30fdca7b-ecb1-4096-b2d2-41831f283ae1.rna_seq.augmented_star_gene_counts.tsv
TCGA-CM-4746-01A-01R-1410-07	2d83a9e6-da2d-47e1-b2e7-4b07b108f7bd.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3994-01A-01R-1113-07	4d347bfa-eb25-4e9d-9594-4e1d99545678.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3977-01A-01R-1022-07	930630ee-1c36-4567-aeff-042eef1654e6.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-A010-01A-01R-A089-07	d26edfd0-8a93-4c98-8567-05b997eb2ea6.rna_seq.augmented_star_gene_counts.tsv
TCGA-AD-6888-01A-11R-1928-07	ee24b470-4509-4687-a91e-6d2b967336b9.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3968-01A-01R-1022-07	6ed86bf9-3560-43c4-b8b2-960df62d059c.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3815-01A-01R-1022-07	fe1628d5-92d9-4e5c-a441-531b699014f1.rna_seq.augmented_star_gene_counts.tsv
TCGA-AZ-6603-11A-02R-1839-07	c4464d1a-4513-44af-a555-68cd0ca584b1.rna_seq.augmented_star_gene_counts.tsv
TCGA-D5-5540-01A-01R-1653-07	45a758dc-af09-48d3-8cd2-15232593f385.rna_seq.augmented_star_gene_counts.tsv
TCGA-AY-4070-01A-01R-1113-07	6e52f36f-b65a-4b1a-ac9b-89f91a5eb92b.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-2676-01A-01R-0826-07	f66a9fee-f63a-4398-b242-9c065bbe213d.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-A566-01A-11R-A28H-07	fd618c1b-e230-408d-aed8-4ad6df3fc4e6.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-3810-01B-04R-A277-07	b8135e73-31c3-49af-b4da-a7ed5f28d68a.rna_seq.augmented_star_gene_counts.tsv
TCGA-CK-5914-01A-11R-1653-07	7cec44f2-b56b-49fc-b2cc-d0691afde776.rna_seq.augmented_star_gene_counts.tsv
TCGA-CA-5254-01A-21R-1839-07	6a7c5b76-1910-4698-a3b7-3ddf78d6fd87.rna_seq.augmented_star_gene_counts.tsv
TCGA-WS-AB45-01A-11R-A41B-07	07234abb-aa8c-434f-898c-6f7ba28c5850.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3952-01A-01R-1022-07	ef0c5405-76c6-49bd-8463-cdacf603c9cb.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3554-01A-01R-0826-07	24d909f2-cdc8-4509-91d5-e18fffcf90eb.rna_seq.augmented_star_gene_counts.tsv
TCGA-NH-A6GA-01A-11R-A37K-07	d333233b-e431-462b-ae35-c3b4c6ab3a40.rna_seq.augmented_star_gene_counts.tsv
TCGA-AZ-4681-01A-01R-1410-07	4613d81b-e9ba-4c36-96a5-d7c9667b83ec.rna_seq.augmented_star_gene_counts.tsv
TCGA-CM-4751-01A-02R-1839-07	6d4df71e-cbf8-49e7-a511-8c8c1ea780e8.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3821-01A-01R-1022-07	29c49da8-3d12-425d-abe6-de2be5e6807f.rna_seq.augmented_star_gene_counts.tsv
TCGA-RU-A8FL-01A-11R-A37K-07	64935b9c-623d-40d4-bd89-f2af006b1f92.rna_seq.augmented_star_gene_counts.tsv
TCGA-G4-6294-01A-11R-1774-07	0357aa51-9436-4923-9b1e-eb22bdf647df.rna_seq.augmented_star_gene_counts.tsv
TCGA-CA-6719-01A-11R-1839-07	3fcb923c-5dd2-4d6f-a6bb-8074ffb762be.rna_seq.augmented_star_gene_counts.tsv
TCGA-AY-6196-01A-11R-1723-07	59f108c6-677f-4cf2-89fd-6bd15133dd6f.rna_seq.augmented_star_gene_counts.tsv
TCGA-CK-5916-01A-11R-1653-07	4db40a0d-ef66-41de-b993-e722581158dc.rna_seq.augmented_star_gene_counts.tsv
TCGA-D5-6926-01A-11R-1928-07	66e5440a-6b08-43cc-b007-82ac3f5221d1.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-6648-01A-11R-1774-07	680dcf75-8d74-45ca-b1d6-0ef7310e6473.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-2678-01A-01R-0821-07	cb6e4e0c-6f89-4ea5-a89d-1b0da8cf7fac.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-4107-01A-02R-1410-07	4bafe83e-072c-4042-bd3d-5f108391ed89.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-A56B-01A-31R-A28H-07	a9e8922f-fd6c-412d-85f5-40f5ea9b5455.rna_seq.augmented_star_gene_counts.tsv
TCGA-D5-6531-01A-11R-1723-07	02fde1b1-c95c-4d8f-b57b-355b55072108.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3552-01A-01R-0821-07	6e0c14ea-3eb3-424a-bc12-fb127ac1a777.rna_seq.augmented_star_gene_counts.tsv
TCGA-CK-6751-01A-11R-1839-07	6a8cad2e-350a-4c0b-9680-41d83ef1eb5d.rna_seq.augmented_star_gene_counts.tsv
TCGA-CM-4747-01A-01R-1410-07	1e82995c-f318-4225-96d4-f1e98bcbf60b.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3521-01A-01R-0821-07	6c87ca2e-fabe-4016-994d-83e8a8b70018.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-6137-01A-11R-1774-07	549d8df6-cdec-42fa-9951-ffd98ecee10f.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-6780-01B-04R-A277-07	b9389390-aa03-406c-957e-2bc264f9468e.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3518-01A-02R-0826-07	7c8246a6-3f2c-42e1-b09f-959cfbf7fd5a.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3553-01A-01R-0821-07	f7670084-a534-406a-b322-d9657f2024b5.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-5662-01A-01R-1653-07	f4cfbfdb-3861-4731-92d8-74e66a7ae5a7.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-2680-01A-01R-1410-07	26251cd8-7e90-46bb-a025-1328d83c83ee.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3852-01A-01R-0905-07	7dab0af8-ab64-4014-b7b7-bf0df59a1b3a.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3672-01A-01R-0905-07	d6b7de60-321d-4f6d-82e7-3d5e9598462c.rna_seq.augmented_star_gene_counts.tsv
TCGA-D5-6540-01A-11R-1723-07	25400212-48de-48a9-96d3-2fc2ee23fd41.rna_seq.augmented_star_gene_counts.tsv
TCGA-CM-6163-01A-11R-1653-07	8e33d29d-23c9-48f4-89a2-d0a9b17d0081.rna_seq.augmented_star_gene_counts.tsv
TCGA-CM-5349-01A-21R-1723-07	811374dd-0c33-420a-b397-7749d6a66ffe.rna_seq.augmented_star_gene_counts.tsv
TCGA-G4-6295-01A-11R-1723-07	83a1d91a-3e74-4106-96d1-eec558404c29.rna_seq.augmented_star_gene_counts.tsv
TCGA-5M-AATE-01A-11R-A41B-07	b3c0ffda-f298-45dd-b494-191788cb7013.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3867-01A-01R-1022-07	4df6c488-ef2f-4019-a1b0-3a3624039be8.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3506-01A-01R-1410-07	b83a1cf6-50a6-44fa-834d-8b3df88149fa.rna_seq.augmented_star_gene_counts.tsv
TCGA-CM-4748-01A-01R-1410-07	12183b9e-ecf0-4eaa-9422-157dfa09a66b.rna_seq.augmented_star_gene_counts.tsv
TCGA-G4-6307-01A-11R-1723-07	63bab58e-1dfd-43df-8188-4b8d766913f3.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3663-01A-01R-1723-07	bf312cd5-e251-4d63-95b5-c379b3ef5ded.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3560-01A-01R-0821-07	131a9973-dfc9-4897-8c19-d5c43cecba0a.rna_seq.augmented_star_gene_counts.tsv
TCGA-G4-6320-01A-11R-1723-07	67da6843-b0fe-4ff9-8cef-a66e606c8f54.rna_seq.augmented_star_gene_counts.tsv
TCGA-CK-5912-01A-11R-1653-07	8cace84b-8d01-46cf-8b59-9f1e53249863.rna_seq.augmented_star_gene_counts.tsv
TCGA-CK-5913-01A-11R-1653-07	4c8b5d7c-d82b-4504-9b9e-3946ca14251e.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-3808-01A-01R-1022-07	27871087-0449-4f04-bc72-a975681a198a.rna_seq.augmented_star_gene_counts.tsv
TCGA-F4-6805-01A-11R-1839-07	aad90266-d469-4986-b260-d0df4c2f48e7.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-6141-01A-11R-1774-07	5fb88e40-263c-4b86-b088-da38f046771a.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-6781-01A-22R-A278-07	ad478846-0a75-4081-ac09-37ee5415d9b4.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-A01Z-01A-11R-A083-07	fa32f303-025b-40d2-a9b0-25bc7622c27e.rna_seq.augmented_star_gene_counts.tsv
TCGA-AZ-6601-01A-11R-1774-07	57c4a274-647d-4499-a8f8-a79e446ab4a7.rna_seq.augmented_star_gene_counts.tsv
TCGA-CA-5796-01A-01R-1653-07	996d8c98-529a-4438-9db5-d49ff575af45.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-A00U-01A-01R-A002-07	e255e8fa-b1c7-42bf-9934-4ea44bed860f.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-2681-01A-01R-1410-07	bb3dc2ff-a686-483e-8d3c-e06649462881.rna_seq.augmented_star_gene_counts.tsv
TCGA-D5-6930-01A-11R-1928-07	c174e0ae-4b0a-4170-9122-b7da8ec61eac.rna_seq.augmented_star_gene_counts.tsv
TCGA-G4-6323-01A-11R-1723-07	149505ae-e005-4aee-b144-5d697b52677e.rna_seq.augmented_star_gene_counts.tsv
TCGA-AY-5543-01A-01R-1653-07	c340b651-bd01-4194-a67b-e801d0feeb2b.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3520-01A-01R-0821-07	3e2f2be1-9d8d-4412-92eb-9f3d5c3ea3ef.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3984-01A-02R-1022-07	c96595aa-4604-4ec6-8b54-c97b3543777e.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3973-01A-01R-1022-07	e1d0ac40-05b3-4ab8-b64b-f42613e97cc7.rna_seq.augmented_star_gene_counts.tsv
TCGA-D5-6920-01A-11R-1928-07	d4f1cd6e-4a8b-44de-b569-c839eda9f41d.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-A01P-01A-21R-A083-07	ea0e56e4-d9e3-44a2-9bdb-2e98554f6bff.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3685-01A-02R-A32Z-07	2ad90ba0-8038-4bad-afa3-d176f63b42f0.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-A00L-01A-01R-A002-07	e0c9f612-91a0-4b84-b3d5-665514324cb6.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-6140-01A-11R-1774-07	53c767aa-2609-45c7-90ad-c0204f3c2b24.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3516-01A-02R-0826-07	8f1213be-da41-4cd6-97b2-f9fce1ea00ff.rna_seq.augmented_star_gene_counts.tsv
TCGA-G4-6586-01A-11R-1774-07	213f702a-56fd-4ab0-940c-a71e4e01b6f8.rna_seq.augmented_star_gene_counts.tsv
TCGA-CK-5915-01A-11R-1653-07	a82c207a-ac59-48cf-9bbf-13ff024e3f95.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3548-01A-01R-1873-07	91386c90-8134-44c9-8a22-4ea17f70da75.rna_seq.augmented_star_gene_counts.tsv
TCGA-D5-6539-01A-11R-1723-07	a5c29cd3-fa0d-428a-8370-c0c7ffe47d12.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3939-01A-01R-1022-07	fd17af6d-f9d4-4d4f-8487-bf8b97cfe3ab.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3971-01A-01R-1022-07	28f73ee0-f218-4884-81c6-e6b4ba2fdccd.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-5661-01B-05R-2302-07	86db93b2-14b0-4094-bd69-222582df130c.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-A01X-01A-21R-A083-07	f17e12f0-54ed-4dc2-ab7e-22a1f90e1405.rna_seq.augmented_star_gene_counts.tsv
TCGA-CM-5860-01A-01R-1653-07	65fc5187-8157-4af4-b4a5-6f6c2eca70ca.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3502-01A-01R-1410-07	3ba89ed5-e704-40d1-bb04-5a0ba48e446d.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-2672-01B-03R-2302-07	bae6fdb5-9df3-433c-9a4c-e5c159a62bc6.rna_seq.augmented_star_gene_counts.tsv
TCGA-AD-A5EK-01A-11R-A28H-07	02c0aa6a-a7ea-4606-8449-7437df54802c.rna_seq.augmented_star_gene_counts.tsv
TCGA-CA-5255-01A-11R-1839-07	e94b6daf-3aed-4496-b64b-1b1a7d8e2011.rna_seq.augmented_star_gene_counts.tsv
TCGA-CK-6748-01A-11R-1839-07	22620634-aa34-4cb5-a37f-5a7b0c47cd0e.rna_seq.augmented_star_gene_counts.tsv
TCGA-G4-6625-01A-21R-1774-07	cfbdbfeb-7550-46dc-bd3b-bf85c4a14443.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-A01G-01A-01R-A002-07	be971158-ffec-4142-afc3-4ea3164fa86c.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3684-01A-02R-0905-07	1652b0a3-dc1d-4490-9632-07673713deb1.rna_seq.augmented_star_gene_counts.tsv
TCGA-CK-4947-01B-11R-1653-07	39857506-1b61-498b-aee6-b8d80f66db1b.rna_seq.augmented_star_gene_counts.tsv
TCGA-NH-A50U-01A-33R-A37K-07	eb5ad680-6080-41fe-982e-e46f90c3849f.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-5657-01A-01R-A32Z-07	f3781318-56be-4a43-b72d-a6bb65ef9a88.rna_seq.augmented_star_gene_counts.tsv
TCGA-AZ-4313-01A-01R-1410-07	8c76ce45-f110-4f6a-b413-13a1a1aeddef.rna_seq.augmented_star_gene_counts.tsv
TCGA-NH-A5IV-01A-42R-A37K-07	5ea84fac-788c-458f-b820-b80224a4dbc2.rna_seq.augmented_star_gene_counts.tsv
TCGA-CM-4752-01A-01R-1410-07	45a2676b-25ba-41b0-9e55-08c6eb3a8f2f.rna_seq.augmented_star_gene_counts.tsv
TCGA-CM-5348-01A-21R-1723-07	4108a871-c064-4537-9331-e59798d7d492.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3693-01A-01R-0905-07	df4e44f9-ee22-43d3-911e-fd4bd826ec0c.rna_seq.augmented_star_gene_counts.tsv
TCGA-G4-6304-01A-11R-1928-07	9da01737-be8f-4af5-9f8f-47bb892b6339.rna_seq.augmented_star_gene_counts.tsv
TCGA-CM-6161-01A-11R-1653-07	955985ca-7d97-4911-927a-3803e669a805.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3979-01A-01R-1022-07	81b828aa-cb06-4790-ba3e-efaa39f4eeef.rna_seq.augmented_star_gene_counts.tsv
TCGA-CM-6171-01A-11R-1653-07	8e357f45-e258-4685-91f6-1da2d0be4fc1.rna_seq.augmented_star_gene_counts.tsv
TCGA-D5-5537-01A-21R-1928-07	ac271c9e-4219-4880-ad89-0df6d5df0bb4.rna_seq.augmented_star_gene_counts.tsv
TCGA-G4-6309-01A-21R-1839-07	fddf611e-f586-49e1-9ee8-8ac853accb9e.rna_seq.augmented_star_gene_counts.tsv
TCGA-D5-6532-01A-11R-1723-07	5ab068b1-411a-4083-a1ab-3ca7569a54a0.rna_seq.augmented_star_gene_counts.tsv
TCGA-CM-5863-01A-21R-1839-07	4c7083b3-eccc-4d80-a31d-6fd3cd0222b4.rna_seq.augmented_star_gene_counts.tsv
TCGA-CA-6717-01A-11R-1839-07	7bfe8d8a-61bf-4ee7-9749-209858e74b5f.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3976-01A-01R-1022-07	8939877c-f889-4da7-b3d5-439000935940.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3831-01A-01R-0905-07	77eb52de-282c-4dc1-886f-f4be32985ed5.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-5665-01B-03R-2302-07	ec48e2b8-ca0a-40fe-a87b-f0e955466840.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3966-01A-01R-1113-07	52472301-36c6-4c99-97bd-b016d8a282d6.rna_seq.augmented_star_gene_counts.tsv
TCGA-G4-6299-01A-11R-1774-07	1323d4f2-5d37-46a2-a615-c30f8b15c37e.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-A02K-01A-03R-A32Y-07	2d8478f6-41ac-47f5-ac3c-337af7245f5b.rna_seq.augmented_star_gene_counts.tsv
TCGA-CM-5344-01A-21R-1723-07	7b3b5487-3788-4498-b9a2-0fd77967ad66.rna_seq.augmented_star_gene_counts.tsv
TCGA-AD-6964-01A-11R-1928-07	46a6f49d-2ab8-41fb-ba8c-951a160e5d08.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-3807-01A-01R-1022-07	56c90a71-00af-4e8a-a75d-01a39d44d1f3.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3844-01A-01R-1022-07	7b98348a-13f8-404a-9a1e-280ae481b6b0.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3680-01A-01R-0905-07	5c61f3fb-d3c5-4628-89a8-94bd513e8fa4.rna_seq.augmented_star_gene_counts.tsv
TCGA-AD-A5EJ-01A-11R-A28H-07	5ca9ac39-e175-4890-ba6e-9ff4709d3f37.rna_seq.augmented_star_gene_counts.tsv
TCGA-F4-6854-01A-11R-1928-07	d61597de-2e74-41f1-8196-1604fb2237be.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-A02F-01A-01R-A089-07	e1db653d-98b9-4a7b-9b5a-1ee0baead12f.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3851-01A-01R-1022-07	ff02e85e-2f87-4832-aaea-3322db33c57a.rna_seq.augmented_star_gene_counts.tsv
TCGA-A6-6138-01A-11R-1774-07	c7a22797-676e-4f10-a51d-e3ee91a29a21.rna_seq.augmented_star_gene_counts.tsv
TCGA-D5-6533-01A-11R-1723-07	d1d0621d-c3d5-4162-bd79-8c1f71a140ef.rna_seq.augmented_star_gene_counts.tsv
TCGA-AA-3555-01A-01R-0821-07	852508b0-5a5e-4730-8c70-6aabc0aa88be.rna_seq.augmented_star_gene_counts.tsv
TCGA-CM-6164-01A-11R-1653-07	2d85d8b8-a590-4a3a-96f2-3f44b5a77032.rna_seq.augmented_star_gene_counts.tsv
TCGA-CM-5862-01A-01R-1653-07	4ca680a2-88a3-421c-9df4-3285e94e2817.rna_seq.augmented_star_gene_counts.tsv
TCGA-G4-6311-01A-11R-1723-07	b9cadac9-9bb4-4bc8-9303-d05ad06778cc.rna_seq.augmented_star_gene_counts.tsv
TCGA-QG-A5YX-01A-11R-A28H-07	fd49c74b-2a85-46cd-aaa0-dbd2f1284947.rna_seq.augmented_star_gene_counts.tsv
